feature,importance,std
wdml_std,0.11190020080321286,0.027440370534011323
VOICSFTR,0.08898498066339433,0.018207754619979352
TOLDPD,0.07158905250632161,0.013225791888859851
sampentropyv_std,0.03941281050126434,0.008907254553566838
standingtime,0.03881169120928161,0.00468344522140576
percentstanding,0.020209575338390608,0.0026483422921414744
sedentarytime,0.01893492116614609,0.004124349221034684
wdml,0.018030046110367414,0.0036669044322743733
stepasymap_std,0.017292544251078436,0.0068165926727266615
LSSXPRSS,0.016112922058604817,0.00297184251849636
ampml_std,0.013735374832663983,0.00341200025145319
GAITASTDUAL,0.011079495760821078,0.002541430611377989
stpregml,0.010950937081660016,0.0026987102177580898
sampentropyap_std,0.010677138182359103,0.003102125191789478
sumsvmdaymg,0.009896136397441635,0.002089382346925221
sampentropyap,0.00824034285289309,0.0018425543265895802
stepasymv,0.007481265803956605,0.0009330703024353327
velocityofrotationdegsec,0.007095630670831521,0.001338365343411589
stepvelocitycmsec,0.007013714115722181,0.0017951317054699686
ARMLGSHK,0.006983035847092122,0.001713014599425396
steptime_std,0.0069564331399673,0.001454968816481838
stridetime,0.00679930090733305,0.000998244366243379
strregml,0.006264904060687216,0.0015450706274572046
timeofrotationsec,0.006228071545441039,0.0008006069786742233
stridetime_std,0.005884493529674284,0.0009261065414181521
strregap_std,0.005412948088650904,0.0014940455786787066
rmsap_std,0.005361869701026367,0.0008616607399477544
stpregml_std,0.005046102930239505,0.002538997300553577
strregml_std,0.0043704856462888795,0.0011745357398682558
stepcount,0.003986858545292305,0.000892914490693169
percentlying,0.0036912390301948707,0.0012692703787106905
strregap,0.0036480142793396176,0.0008141375116785275
numberofrotations,0.003586531310426888,0.0009092182067021133
ampv_std,0.0035594786553622138,0.0010593179541147802
stpregv,0.00351612375427639,0.0011428554709951477
WRTSMLR,0.0035120667856611944,0.0014572226118404435
cvstridetime_std,0.0034605087014725642,0.001342204543245412
x_30_60sec,0.003413412910902902,0.0008520916837820579
cvsteptime_std,0.0031257102484010257,0.0009115314381800672
waketimenightminutes,0.0029427822400713956,0.0007713709497655613
activitylevel,0.002662959244384977,0.0006171085340436343
stepasymml,0.0026088539342555505,0.0006801597767414103
