"PATNO","EVENT_ID","cjv","cnr","efc","fber","rpve_csf","rpve_gm","rpve_wm","fwhm_avg","fwhm_x","fwhm_y","fwhm_z","summary_bg_k","summary_bg_mad","summary_bg_mean","summary_bg_median","summary_bg_n","summary_bg_p05","summary_bg_p95","summary_bg_stdv","summary_csf_k","summary_csf_mad","summary_csf_mean","summary_csf_median","summary_csf_n","summary_csf_p05","summary_csf_p95","summary_csf_stdv","summary_gm_k","summary_gm_mad","summary_gm_mean","summary_gm_median","summary_gm_n","summary_gm_p05","summary_gm_p95","summary_gm_stdv","summary_wm_k","summary_wm_mad","summary_wm_mean","summary_wm_median","summary_wm_n","summary_wm_p05","summary_wm_p95","summary_wm_stdv","icvs_csf","icvs_gm","icvs_wm","inu_med","inu_range","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm"
"3000","BL","0.978933","1.07153","0.61667","10276.2","7.58148","7.4194","7.46216","3.39909","3.0013","3.76328","3.4327","227.299","0","3.94125","0","3333210","0","28.153","14.099","-0.894769","161.116","291.32","282.288","68718.8","84.7621","524.714","134.948","-0.601527","179.823","631.911","666.048","592523","200.064","1017.34","245.548","-0.532716","100.894","943.257","952.807","594260","759.714","1105.51","105.479","0.0547341","0.471941","0.473325","0.924572","0.3487","2.09181","2.71249","4.61248","9.03314","13.117","30.9492","29.4467","44.2739"
"3001","BL","0.80946","1.09498","0.588446","13048.2","7.12406","6.9802","7.05957","3.51086","3.08496","3.93364","3.51399","20.8613","0","3.94214","0","3177170","0","26.518","10.6655","-0.754641","174.005","419.241","388.065","356573","107.407","794.386","215.667","3.45103","85.9596","787.037","781.47","503095","525.49","1045.35","156.656","-0.332459","72.8544","967.596","977.667","521003","808.457","1092.72","86.3148","0.25826","0.364385","0.377355","0.761433","0.278249","1.79937","4.98845","6.03819","11.3268","23.8372","48.0025","43.9646","60.0541"
"3002","BL","0.858531","1.03171","0.570954","-1","8.39912","8.24006","8.31214","3.57653","3.16555","3.92984","3.63421","26.2663","0","3.63751","0","3367870","0","26.1105","10.9639","-0.825712","166.085","361.354","328.841","309078","92.916","721.163","195.503","2.77189","79.1974","744.187","740.403","425801","480.849","1002.97","155.345","-0.332489","83.7324","918.266","930.18","439952","743.639","1062.11","97.8944","0.263083","0.362436","0.374481","0.885166","0.396362","1.68203","4.76616","5.31668","9.50186","19.6496","44.2421","39.8246","55.582"
"3003","BL","0.749906","1.30643","0.585528","19546.6","7.68455","7.56283","7.63475","3.60792","3.06114","4.1075","3.65513","111.437","0","3.98235","0","3050650","0","25.5999","11.5864","0.642681","170.795","437.307","424.644","333630","102.863","790.744","212.696","0.244156","77.7062","772.464","767.284","475824","577.851","978.322","119.026","-0.185408","58.2003","939.651","948.515","472875","809.391","1041.72","70.3042","0.260175","0.371062","0.368763","0.618507","0.195644","1.99648","6.44635","7.31146","13.4916","24.0109","43.385","40.3428","53.6325"
"3004","BL","0.690981","1.39882","0.601175","11389.8","7.57985","7.46982","7.55601","3.36418","2.90921","3.77272","3.4106","36.8269","0","3.43034","0","3098840","0","23.394","11.0418","-0.890415","176.614","394.264","370.803","336661","81.1216","757.628","216.912","0.553772","94.6199","732.003","723.8","485043","504.3","981.066","142.181","0.0921477","63.6788","943.621","952.892","475963","792.231","1061.88","80.5306","0.259435","0.373781","0.366784","0.845516","0.29129","1.70946","5.09068","6.21093","11.8327","22.0006","42.9447","40.4942","56.5374"
"3006","BL","0.817139","1.03114","0.583052","-1","6.97084","6.82067","6.90237","3.96835","3.61244","4.31083","3.98178","58.8983","0","4.17485","0","3126150","0","29.5013","12.0853","-0.601061","159.859","437.993","411.428","367544","138.824","793.627","203.891","4.33869","76.2901","778.832","775.763","510433","513.205","1030.05","153.852","-0.203523","73.6617","949.553","959.271","531854","789.581","1082.41","88.6335","0.260701","0.362053","0.377247","0.798307","0.43684","2.01788","5.04226","5.96101","10.8229","22.3033","42.0536","38.7861","52.0015"
"3007","BL","0.820744","0.883801","0.622411","-1","6.25987","6.10964","6.20578","3.4587","2.98125","3.90596","3.48888","40.338","0","6.2772","0","2782930","0","37.3938","16.4384","-0.506218","171.314","391.72","339.913","389686","84.136","813.201","234.129","6.69275","88.2665","757.667","771.304","550512","314.176","1094.56","225.766","-0.532801","92.0261","977.776","990.973","622631","791.817","1127.76","102.651","0.249346","0.352253","0.3984","0.876191","0.301914","1.45182","3.41639","4.84067","9.65379","13.5469","30.7395","27.9268","39.4942"
"3008","BL","1.16817","0.718594","0.560693","-1","9.10273","8.93538","9.02345","3.42122","3.00273","3.81286","3.44806","38.1921","0","3.62145","0","3611890","0","25.614","12.1251","-0.423556","131.904","375.613","344.009","275199","128.773","713.853","175.545","4.6408","94.515","727.295","750.318","372679","341.901","1024.21","199.679","-0.676839","89.8902","904.877","908.176","434796","753.57","1046.66","90.7683","0.254184","0.344221","0.401595","0.831309","0.331408","1.95967","3.75762","5.24091","10.0054","18.5873","40.5406","36.0659","49.0699"
"3010","BL","0.806235","0.983892","0.62005","10002.4","6.38535","6.23432","6.32837","3.31817","2.85542","3.75994","3.33915","151.003","0","4.97288","0","3148670","0","32.1823","14.7702","6.06019","186.248","424.918","388.139","400182","90.0944","829.888","242.649","16.4711","87.1007","766.191","758.593","561440","451.587","1061.9","187.927","-0.118871","83.7348","955.759","970.486","570560","765.922","1105.11","104.145","0.261184","0.366432","0.372384","0.889832","0.324621","1.59959","4.03664","4.98494","9.31859","17.216","33.6475","31.3032","43.0461"
"3011","BL","0.777164","1.25719","0.632002","10436.2","7.14939","7.01578","7.1006","3.40021","2.86752","3.85205","3.48107","41.6951","0","2.86911","0","3475600","0","20.2337","9.26954","-0.427471","164.133","423.195","407.262","357528","106.244","768.607","209.758","0.0239072","84.1372","727.489","719.011","515861","521.239","957.966","130.618","0.0536472","71.8146","907.705","919.678","500682","740.505","1039.07","91.2698","0.260196","0.375425","0.364378","0.779715","0.205352","1.94158","5.50467","5.84091","10.0765","28.7838","50.817","48.2001","64.9994"
