feature,importance
wdml_std,0.11560452974083123
TOLDPD,0.09109361704380459
VOICSFTR,0.08804516096495195
standingtime,0.060799808917051015
sampentropyv_std,0.04424978555638013
stepasymap_std,0.03645288974158112
percentstanding,0.03178078378073536
wdml,0.02783598162731137
sedentarytime,0.025712437770035165
LSSXPRSS,0.024633288652025173
strregap_std,0.016902701970725763
GAITASTDUAL,0.01568083341961039
stpregml,0.015116990971857104
velocityofrotationdegsec,0.014707487847641844
ampml_std,0.014539579834418634
steptime_std,0.014500166762794276
sampentropyap_std,0.014077125301164565
sumsvmdaymg,0.013187245677993842
stridetime,0.012767783309723276
sampentropyap,0.011582926525850542
stepvelocitycmsec,0.011373656333520207
strregml,0.010497322512678972
percentlying,0.01027299112773327
x_30_60sec,0.010176003783918178
strregml_std,0.009217870237189006
stpregml_std,0.009094351697765908
stpregv,0.008789077018072806
stepasymv,0.008567173998587821
cvstridetime_std,0.0084751233875422
rmsap_std,0.008321682173222029
ampv_std,0.006966534325815051
stridetime_std,0.006639699114051014
ampml,0.00612286186430027
ARMLGSHK,0.006074402745139302
wdap,0.006002493392083693
stepcount,0.005935578063992047
timeofrotationsec,0.005445303211610105
wdv_std,0.0053363036176800865
percentactivenight,0.005332511075646634
sampentropyml,0.0050184495423693815
WRTSMLR,0.0047786821128985215
activitylevel,0.004711142454856254
degreesofrotationdeg,0.004697902671286548
strregap,0.004555930838752464
waketimenightminutes,0.004527066451665933
cvsteptime_std,0.004518151010297483
stepvelocitycmsec_std,0.004277622373554892
rmsml_std,0.004187284115548942
stepasymml,0.003821905957696824
rmsml,0.0037811440124031473
totalnaptimemin,0.003740464047133762
wdap_std,0.0036602027405639817
sampentropyv,0.0036463574399258594
percentwakenight,0.003595615159215671
numberofrotations,0.003564414006311008
percentsitting,0.003492999443695253
stepasymml_std,0.0034609400745258573
percentnight,0.003455201057225401
percentother,0.0033985438638645697
sumsvmnightmg,0.003327444814492969
rmsv_std,0.003271778236691568
numberofbouts,0.0031073618697379356
actualnighttimehr,0.00297417138796745
strregv_std,0.0029397786401569722
cvsteplength_std,0.0028700429323429404
steptime,0.002840787763693477
PATNO_y,0.002719170253146876
stepasymap,0.0027047523751948283
ampv,0.0026048343166885646
ampap,0.0025192868218811807
cvstridetime,0.0024695917882002175
cadencetimedomain,0.0023790597764523475
stpregap_std,0.002375192678902027
meansvmnightmg,0.0020736612898462196
othertime,0.0020043896680377654
numwalkboutsnight,0.0019620551578699683
nighttimehr,0.0019478977045687782
percentwalknight,0.0018100520525904226
walktimenightminutes,0.001756630813411532
x_10_20sec,0.0016480827583324647
x__120sec,0.001572968496833665
PATNO_x,0.0014985361523258708
TRBBUTTN,0.0014824165758336471
walkingtime,0.0013853344855044138
FTSTUCK,0.0013727610457519063
percentsedentary,0.0013249675999778667
percentactiveday,0.0012980096762649565
x_60_120sec,0.0012580760102071842
lyingtime,0.00121048595457096
TRBUPCHR,0.0011607254477375175
ampap_std,0.0011175813963007011
numberofnappingbouts,0.001111466841028909
sampentropyml_std,0.0011066295234973468
stpregv_std,0.0011053937508804493
stepasymv_std,0.0009941614795793755
POORBAL,0.0009730984463319266
x_5_10sec,0.0009150542664306336
validdays6hr,0.0008763105295850205
sittingtime,0.0008614584454403362
meansvmdaymg,0.0008546272367195955
meannapboutmin,0.0007548020196834798
numberofdays,0.000695677557806291
strregv,0.0006212945360816693
rmsv,0.0005702292193304645
SHUFFLE,0.0005665757201687181
validdays12hr,0.0004957091024881193
cvsteplength,0.00048144586280999364
percentwalking,0.00037470585505791827
wdv,0.0003117374566973287
cvsteptime,0.00023340213518889072
rmsap,0.00015951710816298304
stpregap,7.577399289328424e-05
x_20_30sec,5.172332961430456e-05
MVSLOW,1.9235172180198814e-05
upsidedowndetected,0.0
nonweardetected,0.0
PDMEDYN,0.0
AXIVITYUP,0.0
GAITASTCMPLT,0.0
