feature,correlation
TOLDPD,0.5074825108477167
LSSXPRSS,0.4647206200341944
VOICSFTR,0.45753727210341905
TRBBUTTN,0.35121612343693903
ARMLGSHK,0.3455052546731265
TRBUPCHR,0.3245493936840787
STR_CV_DT,0.3180087765550856
ASYM_IND_U,0.31769451737092036
SYM_DT,0.3170385153837967
STEP_SYM_DT,0.3113317586894467
ASA_U,0.3057053059579002
RA_AMP_DT,0.2815535406432222
SHUFFLE,0.2656530307202836
ASYM_IND_DT,0.26420515525761634
STEP_REG_DT,0.2642014582438008
ASA_DT,0.25122309482129607
MVSLOW,0.25111327472845524
TUG2_TURNS_DUR,0.23385009723380362
WRTSMLR,0.22950332206074847
TRA_U,0.22685134367854792
STR_T_DT,0.22518747300304218
SYM_U,0.2105218354202707
TUG1_STEP_SYM,0.1862357306072002
TUG1_TURNS_DUR,0.1856771162707299
FTSTUCK,0.18378177011581476
LA_STD_U,0.18268875056680275
CAD_DT,0.17940047087989977
LA_AMP_DT,0.17405764035876659
STEP_REG_U,0.17069778440234412
T_AMP_U,0.15888328441648827
Arm_Amplitude_Diff,0.15705444631497928
T_AMP_DT,0.15633371954675443
RA_AMP_U,0.1480448253531175
TUG2_STEP_SYM,0.14513676566961262
GAITASTDUAL,0.14106249436548932
RA_STD_U,0.12551492145899873
LA_STD_DT,0.12147783707418325
TUG2_STEP_REG,0.11758966252791041
R_JERK_U,0.10134804644510366
SP_DT,0.09203707119334426
STEP_SYM_U,0.09154253212972412
POORBAL,0.09153482645034494
TUG2_STEP_NUM,0.08624904043125559
TUG1_STEP_REG,0.08152789784511762
TUG2_STRAIGHT_DUR,0.06790694660681627
L_JERK_U,0.06045264446263392
LA_AMP_U,0.05893090269497179
CAD_U,0.055015061622303595
TUG1_STEP_NUM,0.05455314309399661
TRA_DT,0.054194930810686444
RA_STD_DT,0.05019529586893755
STR_T_U,0.047188548651248406
TUG1_DUR,0.04404937001967805
TUG2_DUR,0.04279396890646553
L_JERK_DT,0.04252207507074723
JERK_T_U,0.039257142233611014
SP_U,0.01905986158262186
TUG1_STRAIGHT_DUR,0.012782558570685788
STR_CV_U,0.008829557127487718
R_JERK_DT,0.0069360274135454045
JERK_T_DT,0.004932023091369253
GAIT_SUBGROUP,
SW_VEL_OP,
SW_PATH_OP,
SW_FREQ_OP,
SW_JERK_OP,
SW_VEL_CL,
SW_PATH_CL,
SW_FREQ_CL,
SW_JERK_CL,
PDMEDYN,
AXIVITYUP,
GAITASTCMPLT,
