feature,importance,std
TOLDPD,0.32553126436235874,0.03896954959803936
VOICSFTR,0.11151632798404709,0.01923838642228401
LSSXPRSS,0.06480423986326085,0.009702641382996185
SP_U,0.02978171968474027,0.004833203897701253
TUG1_STEP_SYM,0.025197248124584536,0.006092514537573886
TUG2_TURNS_DUR,0.023957651220206988,0.0071127268978315025
MVSLOW,0.02028095954800111,0.006619717657668002
CAD_U,0.019417917576678344,0.005554660511748251
GAITASTDUAL,0.019086795176146608,0.003291730444988566
RA_STD_DT,0.0156018872851581,0.0018784583473046236
STR_CV_DT,0.015212550090209854,0.003396664464841498
L_JERK_U,0.014591490361788983,0.0035113931098529967
L_JERK_DT,0.013573063811603826,0.0038020891369826984
ARMLGSHK,0.013369195707909964,0.0028635517796269105
RA_AMP_DT,0.011110251638021063,0.0023985720006463604
CAD_DT,0.010778301680752046,0.003189373476012129
TUG2_STRAIGHT_DUR,0.010243258000189881,0.001699258661595008
STEP_SYM_U,0.010099442598043861,0.002885201603431726
TUG1_DUR,0.009620004747887179,0.001560581251965428
JERK_T_U,0.00925698983952139,0.0017115231319239572
SP_DT,0.008787216788529072,0.0012665461254111293
TRA_U,0.008363205298642085,0.0015800923769041537
SHUFFLE,0.008089094577912825,0.0021603168800766633
TUG1_STEP_NUM,0.007500841325610086,0.0032687075866658388
T_AMP_DT,0.00738888851960875,0.0014720160301310036
ASYM_IND_DT,0.006973109391320831,0.0012616845990679204
TUG2_DUR,0.006878634982432819,0.0021919530818480487
STEP_REG_U,0.005826531193618823,0.002183324298357254
STR_CV_U,0.005336238723767928,0.0014038221881277984
TUG1_TURNS_DUR,0.005303927452283719,0.0012563614951336848
SYM_DT,0.005131935238818696,0.0006406740165224505
TRBUPCHR,0.004928625486658411,0.0013562190394497736
TUG1_STEP_REG,0.004778561864970066,0.0014747649800946976
LA_STD_DT,0.004412459405564506,0.0011761864336527809
LA_AMP_DT,0.003935238343936931,0.0006931698436291156
T_AMP_U,0.003877173107966936,0.001399145882469241
STR_T_U,0.0037762876270059807,0.0010338739973382032
SYM_U,0.0035073815402145827,0.0007451005472462567
TUG2_STEP_SYM,0.0032038609818630715,0.0016120683571582525
ASA_DT,0.0029885200835627844,0.0006350047102682416
ASA_U,0.0029597948912733706,0.0007133027332563508
R_JERK_DT,0.00275533520083564,0.0007714616321018043
R_JERK_U,0.0027186900579242003,0.0006463826064565326
STEP_SYM_DT,0.0026543566612857172,0.0007991730287731989
ASYM_IND_U,0.00257946443832493,0.000762825526882671
Arm_Amplitude_Diff,0.002578493970183238,0.00046057556070503445
TUG2_STEP_NUM,0.0025447868198651526,0.0005556868240195433
TUG2_STEP_REG,0.002541044535181802,0.0007627570028000331
STEP_REG_DT,0.0023845233121260745,0.00041331032017762526
TUG1_STRAIGHT_DUR,0.002319614946348858,0.0003772048891632992
TRA_DT,0.0020811356946158653,0.0005312801045828534
LA_STD_U,0.002072025923464049,0.0002608204046256615
STR_T_DT,0.002035038457886218,0.0006975726074047922
LA_AMP_U,0.0019684251258189735,0.0011005789116892322
WRTSMLR,0.0018954106922419278,0.0011110177061246591
RA_AMP_U,0.001881681226854026,0.0005303279208573904
RA_STD_U,0.001317972177381066,0.0006260954402202985
JERK_T_DT,0.001309899344791543,0.0006526072679394223
POORBAL,0.001092069129237483,0.0003039158552768932
TRBBUTTN,0.0004174143006362097,0.00027674326310780706
FTSTUCK,0.00015939939227043175,0.00020535323954446174
GAIT_SUBGROUP,0.0,0.0
SW_FREQ_OP,0.0,0.0
SW_PATH_OP,0.0,0.0
SW_VEL_OP,0.0,0.0
SW_JERK_OP,0.0,0.0
SW_FREQ_CL,0.0,0.0
SW_PATH_CL,0.0,0.0
SW_VEL_CL,0.0,0.0
SW_JERK_CL,0.0,0.0
PDMEDYN,0.0,0.0
AXIVITYUP,0.0,0.0
GAITASTCMPLT,0.0,0.0
